name,count,oib_file
S3A_SR_2_LAN_SI_20170418T233241_20170418T235156_20230412T044855_1154_016_344______LN3_R_NT_005.SEN3,173,IDCSI4_20170419.txt
S3A_SR_2_LAN_SI_20170419T230738_20170419T232442_20230412T055033_1023_016_358______LN3_R_NT_005.SEN3,171,IDCSI4_20170419.txt
S3A_SR_2_LAN_SI_20170313T204242_20170313T210213_20230410T040115_1170_015_214______LN3_R_NT_005.SEN3,171,IDCSI4_20170314.txt
S3A_SR_2_LAN_SI_20180414T205011_20180414T210959_20230502T111634_1188_030_100______LN3_R_NT_005.SEN3,169,IDCSI4_20180414.txt
S3A_SR_2_LAN_SI_20160503T230732_20160503T232436_20230824T183920_1023_003_358______LN3_R_NT_005.SEN3,164,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20160504T224148_20160504T225800_20230824T192558_0971_003_372______LN3_R_NT_005.SEN3,148,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20170312T225246_20170312T230921_20230410T025300_0994_015_201______LN3_R_NT_005.SEN3,148,IDCSI4_20170312.txt
S3A_SR_2_LAN_SI_20180415T202425_20180415T204248_20230502T123338_1103_030_114______LN3_R_NT_005.SEN3,135,IDCSI4_20180414.txt
S3A_SR_2_LAN_SI_20160505T001749_20160505T004313_20230824T203409_1524_003_373______LN3_R_NT_005.SEN3,133,IDCSI4_20160504.txt
S3A_SR_2_LAN_SI_20170311T062808_20170311T064234_20230410T002937_0866_015_177______LN3_R_NT_005.SEN3,131,IDCSI4_20170311.txt
S3A_SR_2_LAN_SI_20170312T074128_20170312T075650_20230410T020459_0921_015_192______LN3_R_NT_005.SEN3,131,IDCSI4_20170311.txt
S3A_SR_2_LAN_SI_20180407T221543_20180407T223204_20230502T020046_0981_030_001______LN3_R_NT_005.SEN3,123,IDCSI4_20180407.txt
S3A_SR_2_LAN_SI_20180406T224158_20180406T225809_20230502T002854_0971_029_372______LN3_R_NT_005.SEN3,117,IDCSI4_20180407.txt
S3A_SR_2_LAN_SI_20180409T061201_20180409T062743_20230502T034548_0942_030_020______LN3_R_NT_005.SEN3,117,IDCSI4_20180408.txt
S3A_SR_2_LAN_SI_20180409T075239_20180409T080826_20230502T040535_0946_030_021______LN3_R_NT_005.SEN3,113,IDCSI4_20180408.txt
S3A_SR_2_LAN_SI_20170314T201638_20170314T203513_20230410T052052_1114_015_228______LN3_R_NT_005.SEN3,111,IDCSI4_20170314.txt
S3A_SR_2_LAN_SI_20170420T004306_20170420T011014_20230412T064506_1627_016_359______LN3_R_NT_005.SEN3,108,IDCSI4_20170419.txt
S3A_SR_2_LAN_SI_20160504T004301_20160504T011009_20230824T184555_1627_003_359______LN3_R_NT_005.SEN3,107,IDCSI4_20160504.txt
